Order,Level,Code,Parent,Code_comm,Parent,Description_complex,Description
1659089,3,640100000080,640021000090,64.01,64,"Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stitching, riveting, nailing, screwing, plugging or similar processes","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stitching, riveting, nailing, screwing, plugging or similar processes (excl. orthopaedic footwear, toy footwear, skating boots with ice skates attached, shin-guards and similar protective sportswear)"
1659090,4,640110000080,640100000080,6401.1,64.01,- Footwear incorporating a protective metal toecap,"Waterproof footwear incorporating a protective metal toecap, with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stitching, riveting, nailing, screwing, plugging or similar processes (excl. skating boots with ice or roller skates attached, shin-guards and similar protective sportswear)"
1659091,4,640192000010,640100000080,,64.01,- Other footwear,
1659092,5,640192000080,640192000010,6401.92,,-- Covering the ankle but not covering the knee,"Waterproof footwear covering the ankle, but not the knee, with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stitching, riveting, nailing, screwing, plugging or similar processes (excl. incorporating a protective metal toecap, orthopaedic footwear, sports and toy footwear)"
1659093,5,640199000080,640192000010,6401.99,,-- Other,"Waterproof footwear covering neither the ankle nor the knee, with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stitching, riveting, nailing, screwing, plugging or similar processes (excl. covering the ankle but not the knee, footwear incorporating a protective metal toecap, orthopaedic footwear, skating boots with ice or roller skates attached and sports and toy footwear)"
1659094,3,640200000080,640021000090,64.02,64,Other footwear with outer soles and uppers of rubber or plastics,"Footwear with outer soles and uppers of rubber or plastics (excl. waterproof footwear of heading 6401, orthopaedic footwear, skating boots with ice or roller skates attached, and toy footwear)"
1659095,4,640212000010,640200000080,,64.02,- Sports footwear,
1659096,5,640212000080,640212000010,6402.12,,"-- Ski-boots, cross-country ski footwear and snowboard boots","Ski-boots, cross-country ski footwear and snowboard boots, with outer soles and uppers of rubber or plastics (excl. waterproof footwear of heading 6401)"
1659097,5,640219000080,640212000010,6402.19,,-- Other,"Sports footwear with outer soles and uppers of rubber or plastics (excl. waterproof footwear of heading 6401, ski-boots, cross-country ski footwear, snowboard boots and skating boots with ice or roller skates attached)"
1659098,4,640220000080,640200000080,6402.2,64.02,- Footwear with upper straps or thongs assembled to the sole by means of plugs,"Footwear with outer soles and uppers of rubber or plastics, with upper straps or thongs assembled to the sole by means of plugs (excl. toy footwear)"
1659099,4,640291000010,640200000080,,64.02,- Other footwear,
1659100,5,640291000080,640291000010,6402.91,,-- Covering the ankle,"Footwear covering the ankle, with outer soles and uppers of rubber or plastics (excl. waterproof footwear of heading 6401, sports footwear, orthopaedic footwear and toy footwear)"
1659101,5,640299000080,640291000010,6402.99,,-- Other,"Footwear with outer soles and uppers of rubber or plastics (excl. covering the ankle or with upper straps or thongs assembled to the sole by means of plugs, waterproof footwear of heading 6401, sports footwear, orthopaedic footwear and toy footwear)"
1659102,3,640300000080,640021000090,64.03,64,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather (excl. orthopaedic footwear, skating boots with ice or roller skates attached, and toy footwear)"
1659103,4,640312000010,640300000080,,64.03,- Sports footwear,
1659104,5,640312000080,640312000010,6403.12,,"-- Ski-boots, cross-country ski footwear and snowboard boots","Ski-boots, cross-country ski footwear and snowboard boots, with outer soles of rubber, plastics, leather or composition leather and uppers of leather"
1659105,5,640319000080,640312000010,6403.19,,-- Other,"Sports footwear, with outer soles of rubber, plastics, leather or composition leather and uppers of leather (excl. ski-boots, cross-country ski footwear, snowboard boots and skating boots with ice or roller skates attached)"
1659106,4,640320000080,640300000080,6403.2,64.03,"- Footwear with outer soles of leather, and uppers which consist of leather straps across the instep and around the big toe","Footwear with outer soles of leather, and uppers which consist of leather straps across the instep and around the big toe"
1659107,4,640340000080,640300000080,6403.4,64.03,"- Other footwear, incorporating a protective metal toecap","Footwear, incorporating a protective metal toecap, with outer soles of rubber, plastics, leather or composition leather and uppers of leather (excl. sports footwear and orthopaedic footwear)"
1659108,4,640351000010,640300000080,,64.03,- Other footwear with outer soles of leather,
1659109,5,640351000080,640351000010,6403.51,,-- Covering the ankle,"Footwear with outer soles and uppers of leather, covering the ankle (excl. incorporating a protective metal toecap, sports footwear, orthopaedic footwear and toy footwear)"
1659110,5,640359000080,640351000010,6403.59,,-- Other,"Footwear with outer soles and uppers of leather (excl. covering the ankle, incorporating a protective metal toecap, with uppers which consist of leather straps across the instep and around the big toe, sports footwear, orthopaedic footwear and toy footwear)"
1659111,4,640391000010,640300000080,,64.03,- Other footwear,
1659112,5,640391000080,640391000010,6403.91,,-- Covering the ankle,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, covering the ankle (excl. incorporating a protective metal toecap, sports footwear, orthopaedic footwear and toy footwear)"
1659113,5,640399000080,640391000010,6403.99,,-- Other,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather (excl. covering the ankle, incorporating a protective metal toecap, sports footwear, orthopaedic footwear and toy footwear)"
1659114,3,640400000080,640021000090,64.04,64,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials (excl. toy footwear)"
1659115,4,640411000010,640400000080,,64.04,- Footwear with outer soles of rubber or plastics,
1659116,5,640411000080,640411000010,6404.11,,"-- Sports footwear; tennis shoes, basketball shoes, gym shoes, training shoes and the like","Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, with outer soles of rubber or plastics and uppers of textile materials"
1659117,5,640419000080,640411000010,6404.19,,-- Other,"Footwear with outer soles of rubber or plastics and uppers of textile materials (excl. sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, and toy footwear)"
1659118,4,640420000080,640400000080,6404.2,64.04,- Footwear with outer soles of leather or composition leather,Footwear with outer soles of leather or composition leather and uppers of textile materials (excl. toy footwear)
1659119,3,640500000080,640021000090,64.05,64,Other footwear,"Footwear with outer soles of rubber or plastics, with uppers other than rubber, plastics, leather or textile materials; footwear with outer soles of leather or composition leather, with uppers other than leather or textile materials; footwear with outer soles of wood, cork, twine, paperboard, furskin, woven fabrics, felt, nonwovens, linoleum, raffia, straw, loofah, etc and uppers of any type of material, n.e.s."
1659120,4,640510000080,640500000080,6405.1,64.05,- With uppers of leather or composition leather,"Footwear with uppers of leather or composition leather (excl. with outer soles of rubber, plastics, leather or composition leather and uppers of leather, orthopaedic footwear and toy footwear)"
1659121,4,640520000080,640500000080,6405.2,64.05,- With uppers of textile materials,"Footwear with uppers of textile materials (excl. with outer soles of rubber, plastics, leather or composition leather, orthopaedic footwear and toy footwear)"
1659122,4,640590000080,640500000080,6405.9,64.05,- Other,"Footwear with outer soles of rubber or plastics, with uppers other than rubber, plastics, leather or textile materials; footwear with outer soles of leather or composition leather, with uppers other than leather or textile materials; footwear with outer soles of wood, cork, paperboard, furskin, felt, straw, loofah, etc., with uppers other than leather, composition leather or textile materials, n.e.s."
1659123,3,640600000080,640021000090,64.06,64,"Parts of footwear (including uppers whether or not attached to soles other than outer soles); removable insoles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof","Parts of footwear, incl. uppers whether or not attached to soles other than outer soles; removable in-soles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof (excl. articles of asbestos)"
1659124,4,640610000080,640600000080,6406.1,64.06,"- Uppers and parts thereof, other than stiffeners",Uppers and parts thereof (excl. stiffeners and general parts made of asbestos)
1659125,4,640620000080,640600000080,6406.2,64.06,"- Outer soles and heels, of rubber or plastics","Outer soles and heels, of rubber or plastics"
1659126,4,640690000080,640600000080,6406.9,64.06,- Other,"Parts of footwear; removable in-soles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof (excl. outer soles and heels of rubber or plastics, uppers and parts thereof other than stiffeners, and general parts made of asbestos)"
1659127,2,650021000090,640011000090,65,XII,CHAPTER 65 - HEADGEAR AND PARTS THEREOF,HEADGEAR AND PARTS THEREOF
1659128,3,650100000080,650021000090,6501,65,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt","Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons, incl. slit manchons, of felt"
1659129,3,650200000080,650021000090,6502,65,"Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed","Hat-shapes, plaited or made by assembling strips of any material (excl. blocked to shape, with made brims, lined, or trimmed)"
1659130,3,650400000080,650021000090,6504,65,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed","Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed (excl. headgear for animals, and toy and carnival headgear)"
1659131,3,650500000080,650021000090,6505,65,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hairnets of any material, whether or not lined or trimmed","Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hairnets of any material, whether or not lined or trimmed (excl. headgear for animals, and toy and carnival headgear)"
1659132,3,650600000080,650021000090,65.06,65,"Other headgear, whether or not lined or trimmed","Headgear, whether or not lined or trimmed, n.e.s."
1659133,4,650610000080,650600000080,6506.1,65.06,- Safety headgear,"Safety headgear, whether or not lined or trimmed"
1659134,4,650691000010,650600000080,,65.06,- Other,
1659135,5,650691000080,650691000010,6506.91,,-- Of rubber or of plastics,"Bathing caps, hoods and other headgear, whether or not lined or trimmed, of rubber or plastics (other than safety headgear and headgear having the character of toys or festive articles)"
1659136,5,650699000080,650691000010,6506.99,,-- Of other materials,"Headgear, whether or not lined or trimmed, n.e.s."
1659137,3,650700000080,650021000090,6507,65,"Headbands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear","Headbands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear (excl. headbands used by sportsmen as sweatbands, knitted or crocheted)"
1659138,2,660021000090,640011000090,66,XII,"CHAPTER 66 - UMBRELLAS, SUN UMBRELLAS, WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF","UMBRELLAS, SUN UMBRELLAS, WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF"
1659139,3,660100000080,660021000090,66.01,66,"Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas)","Umbrellas and sun umbrellas, incl. walking-stick umbrellas, garden umbrellas and similar umbrellas (excl. toy umbrellas and beach tents)"
1659140,4,660110000080,660100000080,6601.1,66.01,- Garden or similar umbrellas,Garden or similar umbrellas (excl. beach tents)
1659141,4,660191000010,660100000080,,66.01,- Other,
1659142,5,660191000080,660191000010,6601.91,,-- Having a telescopic shaft,Umbrellas having a telescopic shaft (excl. toy umbrellas)
1659143,5,660199000080,660191000010,6601.99,,-- Other,"Umbrellas and sun umbrellas, incl. walking-stick umbrellas (excl. umbrellas having a telescopic shaft, garden umbrellas and the like, and toy umbrellas)"
1659144,3,660200000080,660021000090,6602,66,"Walking sticks, seat-sticks, whips, riding-crops and the like","Walking sticks, seat-sticks, whips, riding-crops and the like (excl. measure walking sticks, crutches, firearm-sticks and sports sticks)"
1659145,3,660300000080,660021000090,66.03,66,"Parts, trimmings and accessories of articles of heading 6601 or 6602","Parts, trimmings and accessories for umbrellas and sun umbrellas of heading 6601 or for walking sticks, seat-sticks, whips, riding-crops and the like of heading 6602"
1659146,4,660320000080,660300000080,6603.2,66.03,"- Umbrella frames, including frames mounted on shafts (sticks)","Umbrella frames, incl. frames mounted on shafts ""sticks"", for umbrellas and sun umbrellas of heading 6601"
1659147,4,660390000080,660300000080,6603.9,66.03,- Other,"Parts, trimmings and accessories for umbrellas and sun umbrellas of heading 6601 or for walking sticks, seat-sticks, whips, riding-crops and the like of heading 6602 (excl. umbrella frames, incl. frames mounted on shafts ""sticks"")"
1659148,2,670021000090,640011000090,67,XII,CHAPTER 67 - PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR
1659149,3,670100000080,670021000090,6701,67,"Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading 0505 and worked quills and scapes)","Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (excl. goods of heading 0505, worked quills and scapes, footwear and headgear, articles of bedding and similar furnishing of heading 9404, toys, games and sports requisites, and collectors' pieces)"
1659150,3,670200000080,670021000090,67.02,67,"Artificial flowers, foliage and fruit and parts thereof; articles made of artificial flowers, foliage or fruit","Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, foliage or fruit, by binding, glueing, fitting into one another or similar methods"
1659151,4,670210000080,670200000080,6702.1,67.02,- Of plastics,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, foliage or fruit, by binding, glueing, fitting into one another or similar methods, of plastics"
1659152,4,670290000080,670200000080,6702.9,67.02,- Of other materials,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, foliage or fruit, by binding, glueing, fitting into one another or similar methods (excl. of plastics)"
1659153,3,670300000080,670021000090,6703,67,"Human hair, dressed, thinned, bleached or otherwise worked; wool or other animal hair or other textile materials, prepared for use in making wigs or the like","Human hair, dressed, thinned, bleached or otherwise worked; wool, other animal hair or other textile materials, prepared for use in making wigs or the like (excl. natural plaits of human hair, whether or not washed and degreased, but not otherwise processed)"
1659154,3,670400000080,670021000090,67.04,67,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair or of textile materials; articles of human hair not elsewhere specified or included","Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair or of textile materials; articles of human hair, n.e.s."
1659155,4,670411000010,670400000080,,67.04,- Of synthetic textile materials,
1659156,5,670411000080,670411000010,6704.11,,-- Complete wigs,Complete wigs of synthetic textile materials
1659157,5,670419000080,670411000010,6704.19,,-- Other,"False beards, eyebrows and eyelashes, switches and the like, of synthetic textile materials (excl. complete wigs)"
1659158,4,670420000080,670400000080,6704.2,67.04,- Of human hair,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human hair, and articles of human hair, n.e.s."
1659159,4,670490000080,670400000080,6704.9,67.04,- Of other materials,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of animal hair or textile materials (excl. synthetic textile materials)"
1659160,1,680011000090,,XIII,,"SECTION XIII - ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE","ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE"
1659161,2,680021000090,680011000090,68,XIII,"CHAPTER 68 - ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS","ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS"
1659162,3,680100000080,680021000090,6801,68,"Setts, curbstones and flagstones, of natural stone (except slate)","Setts, curbstones and flagstones, of natural stone (excl. slate)"
1659163,3,680200000080,680021000090,68.02,68,"Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 6801; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially coloured granules, chippings and powder, of natural stone (including slate)","Monumental or building stone, natural (excl. slate), worked, and articles; mosaic cubes etc. of natural stone, incl. slate, whether or not on a backing; artificially coloured granules, chippings, powder, of natural stone, incl. slate (excl. setts, curbstones, flagstones; articles of fused basalt and of fired steatite; jewellery, clocks, lamps and parts; buttons, chalks, original sculptures and statuary)"
1659164,4,680210000080,680200000080,6802.1,68.02,"- Tiles, cubes and similar articles, whether or not rectangular (including square), the largest surface area of which is capable of being enclosed in a square the side of which is less than 7 cm; artificially coloured granules, chippings and powder","Tiles, cubes and other processed articles of natural stone, incl. slate, for mosaics and the like, whether or not rectangular or square, the largest surface area of which is capable of being enclosed in a square of side of < 7 cm; artificially coloured granules, chippings and powder of natural stone, incl. slate"
1659165,4,680221000010,680200000080,,68.02,"- Other monumental or building stone and articles thereof, simply cut or sawn, with a flat or even surface",
1659166,5,680221000080,680221000010,6802.21,,"-- Marble, travertine and alabaster","Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even surface (excl. with a completely or partly planed, sand-dressed, coarsely or finely ground or polished surface, tiles, cubes and similar articles of subheading 6802,10, setts, curbstones and flagstones)"
1659167,5,680223000080,680221000010,6802.23,,-- Granite,"Granite and articles thereof, simply cut or sawn, with a flat or even surface (excl. with a completely or partly planed, sand-dressed, coarsely or finely ground or polished surface, tiles, cubes and similar articles of subheading 6802 10 00, setts, curbstones and flagstones)"
1659168,5,680229000080,680221000010,6802.29,,-- Other stone,"Monumental or building stone and articles thereof, simply cut or sawn, with a flat or even surface (excl. marble, travertine, alabaster, granite and slate, those with a completely or partly planed, sand-dressed, coarsely or finely ground or polished surface, tiles, cubes and similar articles of subheading 6802 10 00, setts, curbstones and flagstones)"
1659169,4,680291000010,680200000080,,68.02,- Other,
1659170,5,680291000080,680291000010,6802.91,,"-- Marble, travertine and alabaster","Marble, travertine and alabaster, in any form (excl. tiles, cubes and similar articles of subheading 6802.10, imitation jewellery, clocks, lamps and lighting fittings and parts thereof, buttons, original sculptures and statuary, setts, curbstones and flagstones)"
1659171,5,680292000080,680291000010,6802.92,,-- Other calcareous stone,"Calcareous stone, in any form (excl. marble, travertine and alabaster, tiles, cubes and similar articles of subheading 6802.10, imitation jewellery, clocks, lamps and lighting fittings and parts thereof, original sculptures and statuary, setts, curbstones and flagstones)"
1659172,5,680293000080,680291000010,6802.93,,-- Granite,"Granite, in any form, polished, decorated or otherwise worked (excl. tiles, cubes and similar articles of subheading 6802.10, imitation jewellery, clocks, lamps and lighting fittings and parts thereof, original sculptures and statuary, setts, curbstones and flagstones)"
1659173,5,680299000080,680291000010,6802.99,,-- Other stone,"Monumental or building stone, in any form, polished, decorated or otherwise worked (excl. calcareous stone, granite and slate, tiles, cubes and similar articles of subheading 6802.10, articles of fused basalt, articles of natural steatite, ceramically calcined, imitation jewellery, clocks, lamps and lighting fittings and parts thereof, original sculptures and statuary, setts, curbstones and flagstones)"
1659174,3,680300000080,680021000090,6803,68,Worked slate and articles of slate or of agglomerated slate,"Worked slate and articles of slate or of agglomerated slate (excl. slate granules, chippings and powder, mosaic cubes and the like, slate pencils, and ready-to-use slates or boards with writing or drawing surfaces)"
1659175,3,680400000080,680021000090,68.04,68,"Millstones, grindstones, grinding wheels and the like, without frameworks, for grinding, sharpening, polishing, trueing or cutting, hand sharpening or polishing stones, and parts thereof, of natural stone, of agglomerated natural or artificial abrasives, or of ceramics, with or without parts of other materials","Millstones, grindstones, grinding wheels and the like, without frameworks, for milling, grinding, pulping, sharpening, polishing, trueing or cutting, hand sharpening or polishing stones, and parts thereof, of natural stone, of agglomerated natural or artificial abrasives, or of ceramics, with or without parts of other materials (excl. perfumed pumice stones and grinding wheels etc. specifically for dental drill engines)"
1659176,4,680410000080,680400000080,6804.1,68.04,"- Millstones and grindstones for milling, grinding or pulping","Millstones and grindstones, without frameworks, for milling, grinding or pulping"
1659177,4,680421000010,680400000080,,68.04,"- Other millstones, grindstones, grinding wheels and the like",
1659178,5,680421000080,680421000010,6804.21,,-- Of agglomerated synthetic or natural diamond,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, polishing, trueing or cutting, of agglomerated synthetic or natural diamond (excl. hand sharpening or polishing stones, and grinding wheels etc. specifically for dental drill engines)"
1659179,5,680422000080,680421000010,6804.22,,-- Of other agglomerated abrasives or of ceramics,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, polishing, trueing or cutting, of agglomerated abrasives or ceramics (excl. of agglomerated synthetic or natural diamond, hand sharpening or polishing stones, perfumed pumice stones, and grinding wheels etc. specifically for dental drill engines)"
1659180,5,680423000080,680421000010,6804.23,,-- Of natural stone,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, polishing, trueing or cutting, of natural stone (excl. of agglomerated natural abrasives or ceramics, perfumed pumice stones, hand sharpening or polishing stones, and grinding wheels etc. specifically for dental drill engines)"
1659181,4,680430000080,680400000080,6804.3,68.04,- Hand sharpening or polishing stones,Hand sharpening or polishing stones
1659182,3,680500000080,680021000090,68.05,68,"Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to shape or sewn or otherwise made up","Natural or artificial abrasive powder or grain, on a base of textile material, paper, paperboard or other materials, whether or not cut to shape or sewn or otherwise made up"
1659183,4,680510000080,680500000080,6805.1,68.05,- On a base of woven textile fabric only,"Natural or artificial abrasive powder or grain, on a base of woven textile fabric only, whether or not cut to shape, sewn or otherwise made up"
1659184,4,680520000080,680500000080,6805.2,68.05,- On a base of paper or paperboard only,"Natural or artificial abrasive powder or grain, on a base of paper or paperboard only, whether or not cut to shape, sewn or otherwise made up"
1659185,4,680530000080,680500000080,6805.3,68.05,- On a base of other materials,"Natural or artificial abrasive powder or grain, on a base of materials other than woven textile fabric only or paper or paperboard only, whether or not cut to shape, sewn or otherwise made up"
1659186,3,680600000080,680021000090,68.06,68,"Slag-wool, rock-wool and similar mineral wools; exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials; mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials, other than those of heading 6811 or 6812 or of Chapter 69","Slag-wool, rock-wool and similar mineral wools; exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials; mixtures and articles of heat-insulating, sound-insulating or sound absorbing mineral materials (excl. articles of light concrete, asbestos, asbestos-cement, cellulose fibre-cement or the like, mixtures and other articles of or based on asbestos, and ceramic products)"
1659187,4,680610000080,680600000080,6806.1,68.06,"- Slag-wool, rock-wool and similar mineral wools (including intermixtures thereof), in bulk, sheets or rolls","Slag-wool, rock-wool and similar mineral wools, incl. intermixtures thereof, in bulk, sheets or rolls"
1659188,4,680620000080,680600000080,6806.2,68.06,"- Exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials (including intermixtures thereof)","Exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials, incl. intermixtures thereof"
1659189,4,680690000080,680600000080,6806.9,68.06,- Other,"Mixtures and articles of heat-insulating, sound-insulating or sound absorbing mineral materials (excl. slag-wool, rock-wool and similar mineral wools, exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials, articles of light concrete, asbestos-cement, cellulose fibre-cement or the like, mixtures and other articles of or based on asbestos, and ceramic products)"
1659190,3,680700000080,680021000090,68.07,68,"Articles of asphalt or of similar material (for example, petroleum bitumen or coal tar pitch)","Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch"
1659191,4,680710000080,680700000080,6807.1,68.07,- In rolls,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch, in rolls"
1659192,4,680790000080,680700000080,6807.9,68.07,- Other,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch (excl. in rolls)"
1659193,3,680800000080,680021000090,6808,68,"Panels, boards, tiles, blocks and similar articles of vegetable fibre, of straw or of shavings, chips, particles, sawdust or other waste of wood, agglomerated with cement, plaster or other mineral binders","Panels, boards, tiles, blocks and similar articles of vegetable fibre, of straw or of shavings, chips, particles, sawdust or other waste of wood, agglomerated with cement, plaster or other mineral binders (excl. articles of asbestos-cement, cellulose fibre-cement or the like)"
1659194,3,680900000080,680021000090,68.09,68,Articles of plaster or of compositions based on plaster,"Articles of plaster or of compositions based on plaster (excl. plaster bandages for straightening fractures, put up for retail sale; plaster splints for the treatment of fractures; lightweight with plaster agglomerated building boards or articles for heat-insulation, sound-insulation or sound absorption; anatomic and other models for demonstration purposes; original sculptures and statuary)"
1659195,4,680911000010,680900000080,,68.09,"- Boards, sheets, panels, tiles and similar articles, not ornamented",
1659196,5,680911000080,680911000010,6809.11,,-- Faced or reinforced with paper or paperboard only,"Boards, sheets, panels, tiles and similar articles, of plaster or compositions based on plaster, faced or reinforced with paper or paperboard only (excl. ornamented and with plaster agglomerated articles for heat-insulation, sound-insulation or sound absorption)"
1659197,5,680919000080,680911000010,6809.19,,-- Other,"Boards, sheets, panels, tiles and similar articles, of plaster or compositions based on plaster (excl. ornamented, faced or reinforced with paper or paperboard only, and with plaster agglomerated articles for heat-insulation, sound-insulation or sound absorption)"
1659198,4,680990000080,680900000080,6809.9,68.09,- Other articles,"Articles of plaster or of compositions based on plaster (excl. plaster bandages for straightening fractures, put up for retail sale; plaster splints for the treatment of fractures; lightweight with plaster agglomerated building boards or articles for heat-insulation, sound-insulation or sound absorption; anatomic and other models for demonstration purposes; non-ornamented boards, sheets, panels, tiles andsimilar articles)"
1659199,3,681000000080,680021000090,68.1,68,"Articles of cement, of concrete or of artificial stone, whether or not reinforced","Articles of cement, concrete or artificial stone, whether or not reinforced"
1659200,4,681011000010,681000000080,,68.1,"- Tiles, flagstones, bricks and similar articles",
1659201,5,681011000080,681011000010,6810.11,,-- Building blocks and bricks,"Building blocks and bricks of cement, concrete or artificial stone, whether or not reinforced"
1659202,5,681019000080,681011000010,6810.19,,-- Other,"Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone (excl. building blocks and bricks)"
1659203,4,681091000010,681000000080,,68.1,- Other articles,
1659204,5,681091000080,681091000010,6810.91,,-- Prefabricated structural components for building or civil engineering,"Prefabricated structural components for building or civil engineering of cement, concrete or artificial stone, whether or not reinforced"
1659205,5,681099000080,681091000010,6810.99,,-- Other,"Articles of cement, concrete or artificial stone, whether or not reinforced (excl. prefabricated structural components for building or civil engineering, tiles, paving, bricks and the like)"
1659206,3,681100000080,680021000090,68.11,68,"Articles of asbestos-cement, of cellulose fibre-cement or the like","Articles of asbestos-cement, cellulose fibre-cement or the like"
1659207,4,681140000080,681100000080,6811.4,68.11,- Containing asbestos,"Articles of asbestos-cement, cellulose fibre-cement or the like, containing asbestos"
1659208,4,681181000010,681100000080,,68.11,- Not containing asbestos,
1659209,5,681181000080,681181000010,6811.81,,-- Corrugated sheets,"Corrugated sheets of cellulose fibre-cement or the like, not containing asbestos"
1659210,5,681182000080,681181000010,6811.82,,"-- Other sheets, panels, tiles and similar articles","Sheets, panels, paving, tiles and similar articles, of cellulose fibre-cement or the like, not containing asbestos (excl. corrugated sheets)"
1659211,5,681189000080,681181000010,6811.89,,-- Other articles,"Articles of cellulose fibre-cement or the like, not containing asbestos (excl. corrugated and other sheets, panels, tiles and similar articles)"
1659212,3,681200000080,680021000090,68.12,68,"Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and magnesium carbonate; articles of such mixtures or of asbestos (for example, thread, woven fabric, clothing, headgear, footwear, gaskets), whether or not reinforced, other than goods of heading 6811 or 6813","Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and magnesium carbonate; articles of such mixtures or of asbestos, e.g., thread, woven fabric, clothing, headgear, footwear, gaskets, whether or not reinforced (excl. friction material with a basis of asbestos, and articles of asbestos-cement)"
